K,method_id,label,likely95SE,p5_throughput_mbps
25,random,Random,1.6470472309264814,32.94094461852963
30,random,Random,1.5828267787923684,31.656535575847368
35,random,Random,1.387694497037018,27.753889940740358
40,random,Random,1.2853493791280253,25.706987582560505
45,random,Random,1.1763489445297075,23.52697889059415
50,random,Random,1.1241009345756647,22.482018691513296
25,gao,Gao Matching,1.6341719924811118,32.68343984962223
30,gao,Gao Matching,1.5769643206420143,31.539286412840283
35,gao,Gao Matching,1.3881799391417369,27.763598782834737
40,gao,Gao Matching,1.2854977002189436,25.709954004378872
45,gao,Gao Matching,1.1827839771369362,23.655679542738724
50,gao,Gao Matching,1.1289530613548069,22.579061227096137
25,mussbah,Mussbah Beam Graph,1.5563380861519711,31.126761723039422
30,mussbah,Mussbah Beam Graph,1.430288893978929,28.605777879578582
35,mussbah,Mussbah Beam Graph,1.2152156137471837,24.304312274943673
40,mussbah,Mussbah Beam Graph,1.0694731007667089,21.38946201533418
45,mussbah,Mussbah Beam Graph,0.957237800969824,19.144756019396482
50,mussbah,Mussbah Beam Graph,0.8738613393417297,17.477226786834596
25,topn,AP-Top-N (N=8),1.757488772387071,35.14977544774142
30,topn,AP-Top-N (N=8),1.6871708655525437,33.74341731105088
35,topn,AP-Top-N (N=8),1.4802899420271172,29.60579884054234
40,topn,AP-Top-N (N=8),1.3655175750896364,27.310351501792727
45,topn,AP-Top-N (N=8),1.2495815546128222,24.99163109225644
50,topn,AP-Top-N (N=8),1.1951159458367555,23.90231891673511
25,beam_weighted,Beam-Weighted Threshold,1.711185103315504,34.22370206631008
30,beam_weighted,Beam-Weighted Threshold,1.6171389819413944,32.342779638827885
35,beam_weighted,Beam-Weighted Threshold,1.411930086789742,28.238601735794838
40,beam_weighted,Beam-Weighted Threshold,1.286854441499552,25.737088829991038
45,beam_weighted,Beam-Weighted Threshold,1.1740191953193595,23.480383906387193
50,beam_weighted,Beam-Weighted Threshold,1.109547714164377,22.19095428328754
25,beam_resource,Beam-Resource Matching,1.78648623433324,35.729724686664795
30,beam_resource,Beam-Resource Matching,1.7020387175506249,34.0407743510125
35,beam_resource,Beam-Resource Matching,1.4984749014281022,29.969498028562047
40,beam_resource,Beam-Resource Matching,1.3742239091355857,27.48447818271171
45,beam_resource,Beam-Resource Matching,1.275917948667196,25.518358973343922
50,beam_resource,Beam-Resource Matching,1.2035899409343696,24.07179881868739
