N,K,method_id,label,scheme,avgSE,likely95SE,avgEE,avgTauP,avgRF,avgEdges,avgThroughputMbps,p5ThroughputMbps
1,50,random,Random,Random,1.683796055445265,0.22220155868210797,0.4745339263066481,15.0,0.833,191.055,33.6759211089053,4.444031173642159
1,50,gao,Gao Matching,GaoMatching,1.6844935793066007,0.22623285503056034,0.47473672998602867,15.0,0.833,191.055,33.689871586132014,4.524657100611207
1,50,topn,AP-Top-N (N=8),H3TopAPAdaptive,1.77645441832381,0.23696811300575657,0.5003396435040838,7.725,0.833,252.32,35.5290883664762,4.739362260115132
1,50,beam_weighted,Beam-Weighted Threshold,Proposed,1.7545729945785087,0.2353694942128116,0.4952491161139352,9.355,0.8311250000000001,292.78,35.091459891570175,4.707389884256232
1,50,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,1.7945882335422305,0.23470167346705603,0.5063268753491006,6.04,0.8311250000000001,292.78,35.89176467084461,4.694033469341121
1,50,mussbah,Mussbah Beam Graph,Proposed,1.3323769057596802,0.18083271585835886,0.3771171834203097,43.305,0.8311250000000001,1212.16,26.6475381151936,3.6166543171671774
2,50,random,Random,Random,2.1706650340326537,0.40526184698652534,0.6107053641828482,15.0,1.6687,194.66,43.41330068065307,8.105236939730506
2,50,gao,Gao Matching,GaoMatching,2.170562046275647,0.4044291377411633,0.6106750660564872,15.0,1.6687,194.66,43.41124092551295,8.088582754823266
2,50,topn,AP-Top-N (N=8),H3TopAPAdaptive,2.2851692694181125,0.4270141308804405,0.6425253950855973,7.925,1.6687,251.84,45.70338538836225,8.54028261760881
2,50,beam_weighted,Beam-Weighted Threshold,Proposed,2.198181385785053,0.4109016890386112,0.6095659662595172,12.975,1.4591250000000002,498.675,43.963627715701065,8.218033780772224
2,50,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,2.3091051175024155,0.42392676516133465,0.6398093458617984,5.91,1.4591250000000002,498.675,46.18210235004831,8.478535303226693
2,50,mussbah,Mussbah Beam Graph,Proposed,1.6766739064952496,0.31426624803657,0.46625153980765544,45.435,1.4591250000000002,1217.2,33.53347812990499,6.2853249607314
3,50,random,Random,Random,2.5354499776661585,0.5809907707807941,0.7200904720990584,15.0,2.47485,187.98,50.708999553323174,11.61981541561588
3,50,gao,Gao Matching,GaoMatching,2.535315200138589,0.5809966416557268,0.7200497207460168,15.0,2.47485,187.98,50.70630400277178,11.619932833114536
3,50,topn,AP-Top-N (N=8),H3TopAPAdaptive,2.6699288392565417,0.6113959616104192,0.7578311529632713,7.875,2.47485,252.85,53.398576785130835,12.227919232208384
3,50,beam_weighted,Beam-Weighted Threshold,Proposed,2.500574322636024,0.5799094396891633,0.6901204685781471,16.72,2.1743,709.155,50.011486452720476,11.598188793783265
3,50,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,2.704581787990716,0.6146753528595011,0.7455496704552985,5.775,2.1743,709.155,54.09163575981432,12.293507057190023
3,50,mussbah,Mussbah Beam Graph,Proposed,1.9468828025410607,0.4498555767250113,0.5387139688994499,46.22,2.1743,1219.235,38.93765605082122,8.997111534500226
4,50,random,Random,Random,2.7941988440415133,0.6969141876964152,0.7877530678604724,15.0,3.3289999999999997,190.53,55.88397688083027,13.938283753928303
4,50,gao,Gao Matching,GaoMatching,2.7937781171052096,0.6987603947564941,0.7876329439803533,15.0,3.3289999999999997,190.53,55.87556234210419,13.975207895129882
4,50,topn,AP-Top-N (N=8),H3TopAPAdaptive,2.941953392077447,0.7346514338130269,0.8289126170874865,7.895,3.3289999999999997,252.89,58.83906784154894,14.693028676260539
4,50,beam_weighted,Beam-Weighted Threshold,Proposed,2.775991131826377,0.686314606265217,0.7714938572953693,15.39,2.5174,655.54,55.519822636527536,13.72629212530434
4,50,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,2.977948684965936,0.7373593292392068,0.826710321513553,5.58,2.5174,655.54,59.55897369931872,14.747186584784135
4,50,mussbah,Mussbah Beam Graph,Proposed,2.142820572892795,0.5317971775286365,0.5973183355901314,46.06,2.5174,1219.1,42.8564114578559,10.63594355057273
5,50,random,Random,Random,3.0285539986479475,0.7936584774839157,0.8566815848953547,15.0,4.145125,188.765,60.571079972958955,15.873169549678314
5,50,gao,Gao Matching,GaoMatching,3.0276078976785046,0.7943933983725505,0.8564197064937907,15.0,4.145125,188.765,60.55215795357009,15.88786796745101
5,50,topn,AP-Top-N (N=8),H3TopAPAdaptive,3.188003324011286,0.8397086638619214,0.9012335046879082,7.89,4.145125,252.065,63.76006648022572,16.79417327723843
5,50,beam_weighted,Beam-Weighted Threshold,Proposed,2.938718470906368,0.7777754774687685,0.8155995577510976,18.7,3.262525,804.31,58.77436941812736,15.55550954937537
5,50,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.231527005397684,0.846511546452437,0.8954773414335326,5.64,3.262525,804.31,64.63054010795368,16.93023092904874
5,50,mussbah,Mussbah Beam Graph,Proposed,2.303342149031687,0.6064770317918269,0.6410675129408319,47.09,3.262525,1220.92,46.066842980633744,12.129540635836538
6,50,random,Random,Random,3.2054915309290006,0.8981733285177934,0.9087780999428113,15.0,4.95735,189.38,64.10983061858002,17.96346657035587
6,50,gao,Gao Matching,GaoMatching,3.2046972245398972,0.8982169828108507,0.9085518264705504,15.0,4.95735,189.38,64.09394449079794,17.964339656217014
6,50,topn,AP-Top-N (N=8),H3TopAPAdaptive,3.3737310588603022,0.9515084002527592,0.9559141649627284,7.905,4.95735,252.575,67.47462117720605,19.030168005055184
6,50,beam_weighted,Beam-Weighted Threshold,Proposed,3.152108665713662,0.8986093572953402,0.9029740287006129,16.495,3.4104999999999994,717.265,63.04217331427324,17.9721871459068
6,50,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.4126174313336137,0.974531273046264,0.976289436655383,5.535,3.4104999999999994,717.265,68.25234862667227,19.49062546092528
6,50,mussbah,Mussbah Beam Graph,Proposed,2.4664932395319563,0.7007689448368594,0.7087873651149666,45.51,3.4104999999999994,1218.245,49.32986479063913,14.015378896737188
7,50,random,Random,Random,3.363425233512548,1.0192247184471654,0.952734990404354,15.0,5.7911,190.835,67.26850467025095,20.384494368943308
7,50,gao,Gao Matching,GaoMatching,3.3626943757873256,1.022839331277537,0.9525292281716164,15.0,5.7911,190.835,67.2538875157465,20.45678662555074
7,50,topn,AP-Top-N (N=8),H3TopAPAdaptive,3.5387300901359806,1.0765852890999466,1.0017875763281865,7.96,5.7911,253.225,70.7746018027196,21.531705781998934
7,50,beam_weighted,Beam-Weighted Threshold,Proposed,3.2404963569643823,0.9869555300427927,0.9277527148725633,19.615,4.1791,846.505,64.80992713928764,19.739110600855852
7,50,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.5928592118047717,1.0867869315171792,1.0268081557874182,5.49,4.1791,846.505,71.85718423609543,21.735738630343583
7,50,mussbah,Mussbah Beam Graph,Proposed,2.562185612387571,0.7756116619516932,0.7357658791823931,46.905,4.1791,1220.565,51.24371224775142,15.512233239033863
8,50,random,Random,Random,3.5072038027643457,1.125895783399148,0.9920187373868288,15.0,6.6336,188.365,70.14407605528692,22.51791566798296
8,50,gao,Gao Matching,GaoMatching,3.5047523723066116,1.1241958676555532,0.9913402207431724,15.0,6.6336,188.365,70.09504744613223,22.483917353111067
8,50,topn,AP-Top-N (N=8),H3TopAPAdaptive,3.691218622734976,1.1836769951038189,1.0434649922841102,7.855,6.6336,252.805,73.82437245469951,23.673539902076378
8,50,beam_weighted,Beam-Weighted Threshold,Proposed,3.4321722248716156,1.0952828085869948,1.0219451551239689,17.13,4.21335,752.8,68.64344449743231,21.905656171739896
8,50,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.7377683234811307,1.1883675245270107,1.1111338364012686,5.395,4.21335,752.8,74.75536646962261,23.767350490540213
8,50,mussbah,Mussbah Beam Graph,Proposed,2.7015565787416786,0.8677089995883159,0.8070885361773734,45.41,4.21335,1218.18,54.03113157483357,17.35417999176632
