scheme,p5_se,median_se,mean_se,mean_tau_p_actual,min_tau_p_actual,max_tau_p_actual,mean_vs_random_pct,p5_vs_random_pct
Random,1.2098713661572453,5.122044571996587,5.357711279366322,14.98,14,15,0.0,0.0
Gao matching,1.238322561461567,5.1291181127494045,5.358281365923103,15.0,15,15,0.01064048671261102,2.3515884498273056
GC (Liu),1.2375226435144344,5.132555332724028,5.3586694152595635,15.0,15,15,0.017883305823725975,2.28547249985874
Structured (Chen),1.2367602772588806,5.135396985550883,5.359804398613163,14.96,14,15,0.03906741400758632,2.222460325434345
Mussbah,1.1135335631130223,4.702638520692128,4.92282165850033,26.32,24,30,-8.117078322992958,-7.962648405359659
TopAP (bisect),1.236540209930306,5.1332064521830905,5.359073462960937,14.92,14,15,0.025424729396310367,2.204271009220211
H2 Gao+greedy,1.2367946970507449,5.131429123104002,5.358773020945587,15.0,15,15,0.019817073446149146,2.225305238771998
Hybrid#3 (TopAP N=8 adaptive),1.3138980799161504,5.391646013622649,5.64151172521992,7.92,7,11,5.297046276953619,8.598163132772648
Hybrid#4 (TopAP+greedy),1.2367566371717018,5.133825203763965,5.358947837756863,15.0,15,15,0.023079974378289757,2.222159459798492
