scheme,power_control,p5_mbps,p50_mbps,p95_mbps,mean_mbps
Upper bound,Fractional power,6.581170088833452,11.20385980959745,16.28695163674187,11.311150640307329
Gao matching,Fractional power,5.496907195692136,10.459974556227591,15.735927774975453,10.546177070138475
Structured access,Fractional power,5.6645545279671925,10.576008770438683,15.823388024185267,10.677544364137702
Graph coloring,Fractional power,5.478841857108078,10.363692829959392,15.617460438083613,10.462110244898877
Random,Fractional power,5.087952389789849,10.200646256504896,15.521350664108972,10.276621210710022
Upper bound,Full power,3.3198597346569145,9.921842021473921,16.15596153883214,9.835717090502865
Gao matching,Full power,2.739628028207989,9.500875391975503,15.763329169340418,9.3356781809944
Structured access,Full power,2.812491839454617,9.600419414435631,15.869444206825547,9.45952662101107
Graph coloring,Full power,2.690862992871727,9.435465962974119,15.670169873987756,9.269400148362504
Random,Full power,2.540794006485447,9.327625297387094,15.598547225052219,9.132920756560175
Upper bound,Max-min power,5.6479768023385395,7.010048996599251,8.291302306623034,6.953970671641589
Gao matching,Max-min power,5.056507882841393,6.417771934236763,7.827797281501378,6.434189825537546
Structured access,Max-min power,5.333858404943373,6.604397910772563,7.949664850525121,6.607989174264061
Graph coloring,Max-min power,5.2119693210642675,6.483220082378757,7.723059577491693,6.477557928040583
Random,Max-min power,4.376056475684052,6.070430987527302,7.330606964053229,6.023728396121403
