K,scheme,p5_se,mean_se
25,GC (Liu),0.8974347944970283,5.8202441994004745
25,Gao matching,0.8821458805976122,5.8158835803275455
25,H2 Gao+greedy,0.8879929413498635,5.81763787380919
25,Hybrid#3 (TopAP N=8 adaptive),0.9500380434615244,5.9826077304977705
25,Hybrid#4 (TopAP+greedy),0.8857742906911885,5.817922048882912
25,Mussbah,0.9078119225244194,5.796721988995874
25,Random,0.9135228540415622,5.8171638873052585
25,Structured (Chen),0.8860367746139968,5.820377646393076
25,TopAP (bisect),0.8937956188597015,5.8246959955034985
30,GC (Liu),0.7638542098961959,5.296393276558685
30,Gao matching,0.7618218245771516,5.295272700192878
30,H2 Gao+greedy,0.7631336497727181,5.29656064726869
30,Hybrid#3 (TopAP N=8 adaptive),0.7740552741340506,5.385993963231728
30,Hybrid#4 (TopAP+greedy),0.7594157566361566,5.2965435235189355
30,Mussbah,0.7543769376182021,5.175365352691863
30,Random,0.7713098552085067,5.293289071721288
30,Structured (Chen),0.7677891595631618,5.296251036511556
30,TopAP (bisect),0.7610079754954147,5.296064271847979
35,GC (Liu),0.6394287702996848,4.988570708843792
35,Gao matching,0.6326108031929343,4.986482674714477
35,H2 Gao+greedy,0.6390240746589798,4.988773664006219
35,Hybrid#3 (TopAP N=8 adaptive),0.6578748960876715,5.034189859150749
35,Hybrid#4 (TopAP+greedy),0.6371509420011785,4.9888830478693835
35,Mussbah,0.6306614839292444,4.831320951793997
35,Random,0.6292826765778676,4.9875764264691265
35,Structured (Chen),0.6372487460546684,4.98953994573589
35,TopAP (bisect),0.6418133006351652,4.994482238113588
40,GC (Liu),0.5403099898386942,4.728969442555659
40,Gao matching,0.5390820580637086,4.728088431087682
40,H2 Gao+greedy,0.5410003482667466,4.728659409942523
40,Hybrid#3 (TopAP N=8 adaptive),0.5403564817563935,4.711209839549455
40,Hybrid#4 (TopAP+greedy),0.5406272502468067,4.729198589081437
40,Mussbah,0.5319423215937167,4.486332608864156
40,Random,0.5379803587045218,4.724398760508337
40,Structured (Chen),0.5409011921414641,4.730352122322702
40,TopAP (bisect),0.5432401672788614,4.728605490653423
45,GC (Liu),0.49218151835716756,4.333572275160659
45,Gao matching,0.4932183633355633,4.33247958400276
45,H2 Gao+greedy,0.4983896094332162,4.33320889824345
45,Hybrid#3 (TopAP N=8 adaptive),0.49366239982612126,4.277316875579248
45,Hybrid#4 (TopAP+greedy),0.49931261695276286,4.333784759341887
45,Mussbah,0.47529624453468416,4.051040792557222
45,Random,0.49380126966225885,4.330744587273296
45,Structured (Chen),0.49243835286734605,4.334064774075778
45,TopAP (bisect),0.49452121299722307,4.334654269892233
